name,cas,odor_descriptors
(R)-sandal hexanol,66072-32-0,balsamic clean sandalwood sweet woody
(R)-strawberry furanone,131222-82-7,caramellic
(R)-strawberry furanone methyl ether,131222-76-9,burnt caramel intensive
(R)-styralyl acetate,16197-92-5,apple apricot floral fruity gardenia jasmin mimosa
(R)-styralyl alcohol,1517-69-7,earthy floral green honey honeysuckle
(R)-tonka furanone,75640-26-5,coconut coumarin lactonic sweet
"(R,S)-2-mercapto-3-butanol",37887-04-0,garlic meaty onion roasted sulfury
"(R,S)-methyl cedryl ketone",73398-84-2,vetiver woody
(S)-(+)-2-butanol,4221-99-2,oily wine
(S)-(+)-2-heptanol,6033-23-4,blue cheese fatty moldy mushroom oily
(S)-(+)-2-hexanol,52019-78-0,astringent berry green metallic mushroom ripe stringent
(S)-(+)-2-octanol,6169-06-8,creamy fatty grape mushroom oily
(S)-(+)-2-pentanol,26184-62-3,astringent berry dusty ripe stringent wild
(S)-(+)-alpha-phellandrene,2243-33-6,dill
(S)-(+)-lilyall,75166-30-2,lily lily of the valley of the valley
(S)-(+)-sec-butyl amine,513-49-5,ammonia fishy
(S)-(-)-2-methyl-1-butanol,1565-80-6,ethereal fresh
(S)-(-)-4-ethyloctanoic acid,,cheese fresh goat's goaty milk
(S)-(-)-citronellal,5949-05-3,citrus clean herbal
(S)-(-)-dihydro-alpha-ionone,,floral honey orris woody
(S)-(-)-menthofuran,80183-38-6,fatty herbal thyme turpentine
(S)-(-)-pulegone,3391-90-0,minty
(S)-(Z)-verbenol,18881-04-4,balsamic
(S)-1-decen-3-ol,,earthy metallic oily waxy
(S)-1-hexen-3-ol,4798-44-1,earthy green metallic
(S)-1-methoxy-3-heptane thiol,400052-49-5,black bud currant fatty fruit green herbal passion passion fruit sulfurous tropical
(S)-1-nonen-3-ol,123878-29-5,aldehydic heavy metallic
(S)-1-octen-3-ol,24587-53-9,grassy green herbal moldy musty
(S)-1-phenyl propyl alcohol,613-87-6,floral
"(S)-2,5,6-trimethyl-2-heptanol",,aldehydic citrus dimethyl floral octanol soapy
(S)-2-ethyl hexanoic acid,7511-41-3,herbal musty sweet
(S)-2-methyl butyraldehyde,1730-97-8,cocoa coffee fresh fruity
(S)-2-methyl butyric acid,1730-91-2,fruity sweet
(S)-2-phenyl propionaldehyde,34713-70-7,floral green hyacinth
(S)-2-phenyl propyl alcohol,37778-99-7,floral
(S)-2-sec-butyl-3-methoxypyrazine,,cortex earthy green
(S)-3-butyl phthalide,3413-15-8,celery herbal
(S)-3-heptanol,26549-25-7,lavender medicinal
(S)-3-mercaptohexyl butyrate,145937-74-2,herbal onion oniony sulfury
(S)-3-thiohexanol,90180-90-8,blackcurrant buchu fruits fruity grape grapefruit guava juicy mango tropical
(S)-4-methyl hexanoic acid,1730-89-8,caprylic fatty slightly
(S)-4-methyl nonanoic acid,128342-72-3,goat mutton
(S)-4-methyl octanoic acid,,fresh goaty meaty mutton muttony
(S)-4-methyl-1-hexanol,1767-46-0,green nutty sour spicy
"(S)-8,9-dehydrotheaspirone",85248-56-2,camphor woody
(S)-campholene acetate,36789-59-0,berry fine floral fresh lavender note sweet undertone with woody
(S)-citronellyl acetate,67601-05-2,bergamot fresh fruity rose sweet
(S)-delta-decalactone,59285-67-5,butter fatty fruity peach sweet
(S)-delta-dodecalactone,108943-47-1,fruity sweet
(S)-delta-undecalactone,108861-13-8,fruity milky sweet
